Destination;2012;2013;2014
Asia and the Pacifi;233,774;249,78;263,305
North-East Asia;122,758;126,989;136,276
China;57,725;55,686;55,622
Hong Kong (China);23,77;25,661;27,77
Japan;8,358;10,364;13,413
Korea (DPRK);..;..;..
Korea (ROK);11,14;12,176;14,202
Macao (China);13,577;14,268;14,566
Mongolia;476;418;393
Taiwan (pr. of China);7,311;8,016;9,91
South-East Asia;84,7;94,285;96,715
Brunei;209;225;..
Cambodia;3,584;4,21;4,503
Indonesia;8,044;8,802;9,435
Laos;2,14;2,51;..
Malaysia;25,033;25,715;27,437
Myanmar;1,059;2,044;3,081
Philippines;4,273;4,681;4,833
Singapore;11,098;11,898;11,858
Thailand;22,354;26,547;24,78
Timor-Leste;58;79;60
Vietnam;6,848;7,572;7,874
Oceania;11,942;12,491;13,206
American Samoa;22;20;..
Australia;6,032;6,382;6,868
Cook Is;122;121;121
Fiji;661;658;693
French Polynesia;169;164;181
Guam;1,308;1,334;1,342
Kiribati;5;6;..
Marshall Is;5;5;..
Micronesia FSM;38;42;35
N. Mariana Is;..;..;..
New Caledonia;112;108;107
New Zealand;2,473;2,629;..
Niue;5;7;7
Palau;119;105;141
Papua New Guinea;168;174;..
Samoa;126;116;..
Solomon Is;24;24;..
Tonga;49;51;..
Tuvalu;1;1;1
Vanuatu;108;110;109
South Asia;14,375;16,015;17,108
Afghanistan;..;..;..
Bangladesh;125;148;..
Bhutan;105;116;..
India;6,578;6,968;7,703
Iran;3,834;4,769;..
Maldives;958;1,125;1,205
Nepal;803;798;..
Pakistan;966;..;..
Sri Lanka;1,006;1,275;1,527
