"country","variable","measure","Unit","Date","Value"
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2006 12:00:00 AM",11
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2007 12:00:00 AM",11
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2008 12:00:00 AM",11.4
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2009 12:00:00 AM",12
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2010 12:00:00 AM",12.2
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2011 12:00:00 AM",12.6
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",12.8
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",13.2
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",13.6
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2015 12:00:00 AM",13.7
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2016 12:00:00 AM",13.7
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2006 12:00:00 AM",11.3
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2007 12:00:00 AM",11.3
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2008 12:00:00 AM",11.7
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2009 12:00:00 AM",12.4
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2010 12:00:00 AM",12.5
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2011 12:00:00 AM",12.9
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",13.1
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",13.5
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",13.9
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2015 12:00:00 AM",14.1
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2016 12:00:00 AM",14.1
